comment_counts,name,comment_value,since,sales,url,location
1424,mymysticgems,4.9527,2010,4617,https://www.etsy.com/uk/shop/mymysticgems,"Hoopeston, Illinois"
56,Superblades,4.7857,2018,341,https://www.etsy.com/uk/shop/Superblades,
227,ValkyrieBeardCare,4.9779,2017,823,https://www.etsy.com/uk/shop/ValkyrieBeardCare,"Portland, Oregon"
937,TATTOOSBYFRENZYFLARE,4.9449,2015,8841,https://www.etsy.com/uk/shop/TATTOOSBYFRENZYFLARE,"Brooklyn, New York"
146,TheMarmotDen,4.9459,2012,561,https://www.etsy.com/uk/shop/TheMarmotDen,
628,HeddlesandTreadles,5,2011,2635,https://www.etsy.com/uk/shop/HeddlesandTreadles,"Stromsburg, Nebraska"
4178,TheSpinnery,4.9756,2015,16366,https://www.etsy.com/uk/shop/TheSpinnery,"Carbondale, Pennsylvania"
1060,BeadPatchSupplies,4.9381,2013,4370,https://www.etsy.com/uk/shop/BeadPatchSupplies,
148,AuroraOfAsgard,4.9851,2017,839,https://www.etsy.com/uk/shop/AuroraOfAsgard,"Melksham, United Kingdom"
630,Touchwoodcraft,4.9519,2010,2128,https://www.etsy.com/uk/shop/Touchwoodcraft,"Carmarthen, United Kingdom"
10934,WulflundJewelry,4.9038,2013,43566,https://www.etsy.com/uk/shop/WulflundJewelry,"Prague, Czechia"
693,Burgschneider,4.9385,2017,2995,https://www.etsy.com/uk/shop/Burgschneider,"Frankfurt, Germany"
314,NothernFox,4.8473,2016,1223,https://www.etsy.com/uk/shop/NothernFox,"Kaliningrad, Russia"
12,PyreDesigns,5,2019,35,https://www.etsy.com/uk/shop/PyreDesigns,"Odessa, Florida"
156,ThePlugCrate,4.8333,2017,829,https://www.etsy.com/uk/shop/ThePlugCrate,"Niagara Falls, New York"
14,SvarogsHammerShop,5,2018,70,https://www.etsy.com/uk/shop/SvarogsHammerShop,"Malyn, Ukraine"
124,ChaltonStore,5,2015,681,https://www.etsy.com/uk/shop/ChaltonStore,
2573,PreppyPinkies,4.9301,2011,13953,https://www.etsy.com/uk/shop/PreppyPinkies,"Birmingham, Alabama"
16,VikingArtistry,5,2019,45,https://www.etsy.com/uk/shop/VikingArtistry,"San Diego, California"
111,HappyHollowWoodCraft,4.92,2017,481,https://www.etsy.com/uk/shop/HappyHollowWoodCraft,"Blue Mounds, Wisconsin"
47,VikingsScandinavian,4.8723,2018,297,https://www.etsy.com/uk/shop/VikingsScandinavian,"New York, United States"
21,BlackAcornWorkshop,5,2018,77,https://www.etsy.com/uk/shop/BlackAcornWorkshop,
62,Ratatoskrmarket,4.8333,2016,269,https://www.etsy.com/uk/shop/Ratatoskrmarket,
30,GiggleGarb,5,2012,105,https://www.etsy.com/uk/shop/GiggleGarb,"San Diego, California"
283,Markswallartdecor,4.9762,2017,912,https://www.etsy.com/uk/shop/Markswallartdecor,
182,KelticKaravan,4.956,2018,614,https://www.etsy.com/uk/shop/KelticKaravan,
