ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.433,3,0.012,,0.544,,rg20uf,0.644
0.433,3,0.012,,0.544,,rg20ua,0.644
0.103,,,,0.31,,rg20uh,0.58
0.149,,,,0.431,,rg20up,0.698
0.159,,,,0.419,,rg20uy,0.636
0.433,3,0.012,,0.544,,rg20ur,0.644
0.149,,,,0.431,,rg20ut,0.698
0.159,,,,0.419,,rg20uw,0.636
0.149,,,,0.431,,rg20te,0.698
0.433,3,0.012,,0.544,,rg20wf,0.644
0.374,,,,0.767,,rg20uj,0.709
0.374,,,,0.767,,rg20ts,0.709
0.433,3,0.012,,0.544,,rg20uz,0.644
0.433,3,0.012,,0.544,,rg20wh,0.644
0.433,3,0.012,,0.544,,rg20wq,0.644
0.159,,,,0.419,,rg20un,0.636
0.374,,,,0.767,,rg20wt,0.709
0.374,,,,0.767,,rg20tr,0.709
0.433,3,0.012,,0.544,,rg20we,0.644
0.21,2,0.008,,0.433,,rg20sr,0.535
0.374,,,,0.767,,rg20wy,0.709
0.433,3,0.012,,0.544,,rg20wg,0.644
0.159,,,,0.419,,rg20ux,0.636
0.374,,,,0.767,,rg20wr,0.709
0.374,,,,0.767,,rg20xd,0.709
0.433,3,0.012,,0.544,,rg20wx,0.644
0.433,3,0.012,,0.544,,rg20us,0.644
0.374,,,,0.767,,rg20wb,0.709
0.159,,,,0.419,,rg20xf,0.636
0.103,,,,0.31,,rg20xa,0.58
0.374,,,,0.767,,rg20wz,0.709
0.433,3,0.012,,0.544,,rg20xb,0.644
0.374,,,,0.767,,rg20ws,0.709
0.433,3,0.012,,0.544,,rg20xj,0.644
0.374,,,,0.767,,rg20xg,0.709
0.433,3,0.012,,0.544,,rg20xh,0.644
0.433,3,0.012,,0.544,,rg20xw,0.644
0.433,3,0.012,,0.544,,rg20xq,0.644
0.374,,,,0.767,,rg20ww,0.709
0.374,,,,0.767,,rg20xz,0.709
0.149,,,,0.431,,rg20ya,0.698
0.159,,,,0.419,,rg20yd,0.636
0.159,,,,0.419,,rg20xx,0.636
0.433,3,0.012,,0.544,,rg20xe,0.644
0.433,3,0.012,,0.544,,rg20yf,0.644
0.159,,,,0.419,,rg20yb,0.636
0.159,,,,0.419,,rg20yh,0.636
0.159,,,,0.419,,rg20yj,0.636
0.159,,,,0.419,,rg20yl,0.636
0.374,,,,0.767,,rg20wu,0.709
0.433,3,0.012,,0.544,,rg20wj,0.644
0.159,,,,0.419,,rg20yq,0.636
0.149,,,,0.431,,rg20ye,0.698
0.374,,,,0.767,,rg20tj,0.709
0.149,,,,0.431,,rg20xt,0.698
0.149,,,,0.431,,rg20yw,0.698
0.433,3,0.012,,0.544,,rg20xp,0.644
0.149,,,,0.431,,rg20yy,0.698
0.149,,,,0.431,,rg20yp,0.698
0.433,3,0.012,,0.544,,rg20yr,0.644
0.433,3,0.012,,0.544,,rg20yu,0.644
0.149,,,,0.431,,rg20yz,0.698
0.433,3,0.012,,0.544,,rg20xs,0.644
0.433,3,0.012,,0.544,,rg20xr,0.644
0.202,3,0.01,,0.422,,rg20tq,0.726
0.159,,,,0.419,,rg20yt,0.636
0.246,2,0.007,,0.555,,rg26af,0.627
0.246,2,0.007,,0.555,,rg26ae,0.627
0.433,3,0.012,,0.544,,rg20yg,0.644
0.246,2,0.007,,0.555,,rg26ah,0.627
0.246,2,0.007,,0.555,,rg26al,0.627
0.433,3,0.012,,0.544,,rg20zj,0.644
0.246,2,0.007,,0.555,,rg26ap,0.627
0.149,,,,0.431,,rg26aa,0.698
0.433,3,0.012,,0.544,,rg20ys,0.644
0.246,2,0.007,,0.555,,rg26ag,0.627
0.246,2,0.007,,0.555,,rg26aq,0.627
0.246,2,0.007,,0.555,,rg26ar,0.627
0.246,2,0.007,,0.555,,rg26at,0.627
0.246,2,0.007,,0.555,,rg26as,0.627
0.246,2,0.007,,0.555,,rg26ax,0.627
0.374,,,,0.767,,rg20xu,0.709
0.149,,,,0.431,,rg26dd,0.698
0.149,,,,0.431,,rg26da,0.698
0.433,3,0.012,,0.544,,rg20zl,0.644
0.149,,,,0.431,,rg26dg,0.698
0.393,,,,0.442,,rg26ad,0.96
0.149,,,,0.431,,rg26dh,0.698
0.159,,,,0.419,,rg20yx,0.636
0.246,2,0.007,,0.555,,rg26ge,0.627
0.433,3,0.012,,0.544,,rg20wd,0.644
0.246,2,0.007,,0.555,,rg26gf,0.627
0.246,2,0.007,,0.555,,rg26gp,0.627
0.246,2,0.007,,0.555,,rg26ub,0.627
0.246,2,0.007,,0.555,,rg26ab,0.627
0.149,,,,0.431,,rg26db,0.698
0.149,,,,0.431,,rg26fw,0.698
0.246,2,0.007,,0.555,,rg26gb,0.627
0.246,2,0.007,,0.555,,rg26uh,0.627
0.393,,,,0.442,,rg26ug,0.96
0.246,2,0.007,,0.555,,rg26ua,0.627
0.393,,,,0.442,,rg26un,0.96
0.393,,,,0.442,,rg26up,0.96
0.393,,,,0.442,,rg26uq,0.96
0.246,2,0.007,,0.555,,rg26uu,0.627
0.393,,,,0.442,,rg26uf,0.96
0.159,,,,0.419,,rg20yn,0.636
0.393,,,,0.442,,rg26ul,0.96
0.246,2,0.007,,0.555,,rg26aj,0.627
0.159,,,,0.419,,rg20xy,0.636
0.393,,,,0.442,,rg26uw,0.96
0.246,2,0.007,,0.555,,rg26aw,0.627
0.422,3,0.012,,0.505,,rg27aa,0.78
0.374,,,,0.767,,rg26wg,0.709
0.246,2,0.007,,0.555,,rg26au,0.627
0.149,,,,0.431,,rg26dt,0.698
0.246,2,0.007,,0.555,,rg26an,0.627
0.148,2,0.005,,0.427,,rg20xl,0.592
0.433,3,0.012,,0.544,,rg27af,0.644
0.393,,,,0.442,,rg26ue,0.96
0.464,9,0.027,,0.435,,rg27ap,0.764
0.246,2,0.007,,0.555,,rg26ud,0.627
0.246,2,0.007,,0.555,,rg26wa,0.627
0.246,2,0.007,,0.555,,rg26xa,0.627
0.551,6,0.019,,0.373,,rg27at,0.81
0.422,3,0.012,,0.505,,rg27ab,0.78
0.464,9,0.027,,0.435,,rg27au,0.764
0.246,2,0.007,,0.555,,rg26uj,0.627
0.246,2,0.007,,0.555,,rg26gj,0.627
0.381,6,0.016,,0.39,,rg27ax,0.752
0.226,36,0.079,,0.081,,rg27az,0.585
0.464,9,0.027,,0.435,,rg27ba,0.764
0.422,3,0.012,,0.505,,rg27aq,0.78
0.551,6,0.019,,0.373,,rg27bd,0.81
0.464,9,0.027,,0.435,,rg27ar,0.764
0.25,101,0.086,,0.013,,rg27bh,0.708
0.212,12,0.047,,0.339,,rg27ad,0.599
0.433,3,0.012,,0.544,,rg26xd,0.644
0.381,6,0.016,,0.39,,rg27bg,0.752
0.422,3,0.012,,0.505,,rg27ae,0.78
0.374,,,,0.767,,rg26xb,0.709
0.464,9,0.027,,0.435,,rg27aj,0.764
0.103,3,0.008,,0.319,,rg27bs,0.689
0.464,9,0.027,,0.435,,rg27as,0.764
0.462,14,0.033,,0.298,,rg27an,0.718
0.442,1,0.006,,0.296,,rg27bp,0.814
0.226,36,0.079,,0.081,,rg27be,0.585
0.442,1,0.006,,0.296,,rg27bw,0.814
0.422,3,0.012,,0.505,,rg27ah,0.78
0.56,37,0.084,,0.291,,rg27dg,0.768
0.56,37,0.084,,0.291,,rg27dh,0.768
0.25,101,0.086,,0.013,,rg27de,0.708
0.464,9,0.027,,0.435,,rg27al,0.764
0.464,9,0.027,,0.435,,rg27ay,0.764
0.56,37,0.084,,0.291,,rg27dq,0.768
0.25,101,0.086,,0.013,,rg27bn,0.708
0.56,37,0.084,,0.291,,rg27dl,0.768
0.422,3,0.012,,0.505,,rg27ag,0.78
0.464,9,0.027,,0.435,,rg27bb,0.764
0.242,2,0.006,,0.408,,rg27dr,0.758
0.469,20,0.07,,0.386,,rg27dx,0.561
0.242,2,0.006,,0.408,,rg27ds,0.758
0.25,101,0.086,,0.013,,rg27bj,0.708
0.422,3,0.012,,0.505,,rg27aw,0.78
0.56,37,0.084,,0.291,,rg27dn,0.768
0.56,37,0.084,,0.291,,rg27ed,0.768
0.242,2,0.006,,0.408,,rg27dt,0.758
0.242,2,0.006,,0.408,,rg27ee,0.758
0.226,36,0.079,,0.081,,rg27ef,0.585
0.56,37,0.084,,0.291,,rg27eb,0.768
0.163,4,0.01,,0.412,,rg27ej,0.72
0.25,6,0.017,,0.339,,rg27bq,0.66
0.56,37,0.084,,0.291,,rg27ea,0.768
0.469,20,0.07,,0.386,,rg27dp,0.561
0.106,,,,0.318,,rg27eq,0.774
0.106,,,,0.318,,rg27ep,0.774
0.226,36,0.079,,0.081,,rg27es,0.585
0.524,33,0.053,,0.082,,rg27et,0.768
0.242,2,0.006,,0.408,,rg27dz,0.758
0.106,,,,0.318,,rg27er,0.774
0.202,4,0.012,,0.488,,rg27en,0.768
0.524,33,0.053,,0.082,,rg27ex,0.768
0.524,33,0.053,,0.082,,rg27ey,0.768
0.226,36,0.079,,0.081,,rg27ha,0.585
0.106,,,,0.318,,rg27eg,0.774
0.56,37,0.084,,0.291,,rg27dw,0.768
0.524,33,0.053,,0.082,,rg27hd,0.768
