,ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
253,0.588,10.0,0.04,,0.629,,rg1 1tu,0.40700000000000003
254,0.588,10.0,0.04,,0.629,,rg1 1tx,0.40700000000000003
255,0.514,5.0,0.013999999999999999,,0.385,,rg1 1sd,0.752
256,0.588,10.0,0.04,,0.629,,rg1 1rh,0.40700000000000003
257,0.588,10.0,0.04,,0.629,,rg1 1th,0.40700000000000003
258,0.255,4.0,0.017,,0.5489999999999999,,rg1 1ua,0.545
259,0.588,10.0,0.04,,0.629,,rg1 1td,0.40700000000000003
260,0.588,10.0,0.04,,0.629,,rg1 1ue,0.40700000000000003
261,0.588,10.0,0.04,,0.629,,rg1 1uf,0.40700000000000003
262,0.588,10.0,0.04,,0.629,,rg1 1ug,0.40700000000000003
263,0.514,5.0,0.013999999999999999,,0.385,,rg1 1st,0.752
264,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rx,0.752
265,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1uh,0.44799999999999995
266,0.588,10.0,0.04,,0.629,,rg1 1un,0.40700000000000003
267,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ul,0.44799999999999995
268,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1up,0.44799999999999995
269,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1pq,0.613
270,0.588,10.0,0.04,,0.629,,rg1 1tf,0.40700000000000003
271,0.433,3.0,0.012,,0.544,,rg1 1uz,0.644
272,0.433,3.0,0.012,,0.544,,rg1 1wy,0.644
273,0.588,10.0,0.04,,0.629,,rg1 1tj,0.40700000000000003
274,0.433,3.0,0.012,,0.544,,rg1 1wx,0.644
275,0.255,4.0,0.017,,0.5489999999999999,,rg1 1ub,0.545
276,0.433,3.0,0.012,,0.544,,rg1 1wd,0.644
277,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xg,0.44799999999999995
278,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xh,0.44799999999999995
279,0.588,10.0,0.04,,0.629,,rg1 1xa,0.40700000000000003
280,0.588,10.0,0.04,,0.629,,rg1 1tr,0.40700000000000003
281,0.433,3.0,0.012,,0.544,,rg1 1xd,0.644
282,0.433,3.0,0.012,,0.544,,rg1 1uq,0.644
283,0.588,10.0,0.04,,0.629,,rg1 1tz,0.40700000000000003
284,0.588,10.0,0.04,,0.629,,rg1 1ts,0.40700000000000003
285,0.588,10.0,0.04,,0.629,,rg1 1sj,0.40700000000000003
