ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.271,223,0.004,,0.49,,ox6,0.939
0.119,151,0.005,,0.375,,ol6,0.795
0.177,17,0.001,,0.346,,ca7,0.994
0.155,20,0.002,,0.452,,me6,0.975
0.294,340,0.008,,0.36,,b13,0.561
0.136,106,0.005,,0.434,,wf6,0.974
0.101,167,0.005,,0.377,,bl4,0.892
0.244,27,0.001,,0.442,,dl7,0.981
0.33,31,0.002,,0.339,,bn8,0.979
0.336,8,0.004,,0.38,,pe5,0.97
0.308,462,0.019,,0.513,,mk4,0.777
0.445,778,0.032,,0.38,,g12,0.883
0.204,234,0.003,,0.419,,cm7,0.96
0.222,272,0.008,,0.375,,wv3,0.646
0.323,220,0.009,,0.412,,al2,0.863
0.155,75,0.002,,0.383,,hx2,0.938
0.379,671,0.016,,0.418,,w9,0.572
0.125,410,0.006,,0.381,,cv2,0.747
0.185,101,0.003,,0.425,,s19,0.96
0.164,173,0.003,,0.431,,nn8,0.854
0.243,13,0.001,,0.339,,ca8,0.99
0.132,67,0.003,,0.364,,la3,0.978
0.272,286,0.008,,0.409,,sg6,0.861
0.261,136,0.005,,0.373,,bh6,0.951
0.318,566,0.013,,0.398,,ig8,0.711
0.164,12,0.001,,0.299,,dg7,0.993
0.427,2129,0.029,,0.406,,cb1,0.846
0.095,87,0.002,,0.349,,dy2,0.759
0.076,99,0.004,,0.371,,pa3,0.974
0.117,128,0.002,,0.414,,ml6,0.985
0.291,270,0.009,,0.37,,nr2,0.921
0.141,422,0.014,,0.362,,se2,0.561
0.224,317,0.006,,0.379,,en1,0.711
0.385,4770,0.056,,0.438,,e14,0.443
0.1,191,0.005,,0.375,,b44,0.82
0.148,441,0.009,,0.376,,ub5,0.458
0.245,62,0.004,,0.344,,sp7,0.972
0.314,406,0.004,,0.417,,so3,0.965
0.166,183,0.004,,0.412,,ip1,0.884
0.179,997,0.041,,0.287,,l69,0.788
0.212,227,0.005,,0.414,,ta1,0.962
0.253,69,0.002,,0.379,,sy4,0.982
0.097,,,,0.276,,kw6,0.997
0.127,87,0.003,,0.348,,fy2,0.974
0.171,,,,0.372,,ch8,
0.296,6,0.001,,0.405,,b50,0.983
0.242,712,0.02,,0.366,,ls7,0.576
0.302,109,0.003,,0.383,,hd8,0.967
0.227,42,0.002,,0.375,,tf9,0.979
0.088,171,0.005,,0.309,,s9,0.608
0.108,53,0.002,,0.388,,l65,0.977
0.079,396,0.011,,0.246,,bd5,0.369
0.298,20,0.002,,0.287,,sy6,0.984
0.228,,,,0.308,,cf2,
0.126,404,0.006,,0.32,,bl3,0.62
0.474,440,0.025,,0.5,,e1w,0.567
0.203,136,0.003,,0.411,,cw2,0.955
0.315,3,0.014,,0.536,,l74,0.913
0.134,58,0.003,,0.413,,iv3,0.982
0.086,73,0.003,,0.345,,l21,0.974
0.133,11,0.001,,0.335,,dt5,0.961
0.218,68,0.004,,0.374,,sy2,0.977
0.237,484,0.007,,0.298,,ig1,0.196
0.168,100,0.004,,0.38,,en9,0.908
0.19,237,0.008,,0.438,,sk3,0.919
